CENTRO,ANIO,MES,INCIDENTE_POLICIAL,INCIDENTE_TRANSITO,INCIDENTE_SALUD,INCIDENTE_SERVICIOS_MUNICIPALES,INCIDENTE_BOMBEROS,INCIDENTE_GESTIÓN_DE_RIESGO,INCIDENTE_MILITAR,TOTAL_DE_INCIDENTES_RECEPTADOS
ESMERALDAS,2013,DICIEMBRE,6.041,602,910,284,297,14,27,8.175
ESMERALDAS,2014,FEBRERO,5.197,502,797,297,89,55,20,6.957
ESMERALDAS,2014,MARZO,5.971,572,944,383,117,109,29,8.125
ESMERALDAS,2014,ABRIL,4.266,406,703,265,73,68,20,5.801
ESMERALDAS,2014,MAYO,5.226,470,852,268,102,27,29,6.974
ESMERALDAS,2014,JUNIO,5.062,465,809,241,79,14,18,6.688
ESMERALDAS,2014,JULIO,5.365,466,921,217,119,6,45,7.139
ESMERALDAS,2014,AGOSTO,6.230,608,986,253,182,5,40,8.304
ESMERALDAS,2014,SEPTIEMBRE,5.544,480,893,221,231,6,38,7.413
ESMERALDAS,2014,OCTUBRE,5.535,491,819,257,251,14,54,7.421
ESMERALDAS,2014,NOVIEMBRE,6.071,458,866,197,289,13,28,7.922
ESMERALDAS,2014,DICIEMBRE,6.593,606,941,323,234,13,56,8.766
ESMERALDAS,2015,ENERO,5.807,558,1.077,95,134,15,43,7.729
ESMERALDAS,2015,FEBRERO,5.865,547,1.030,1,124,34,45,7.646
ESMERAL AS,2015,MARZO,6.237,559,1.146,73,111,48,63,8.237
ESMERALDAS,2015,ABRIL,5.145,434,1.176,47,119,27,260,7.208
ESMERALDAS,2015,MAYO,5.471,511,968,62,100,23,358,7.493
ESMERALDAS,2015,JUNIO,5.669,416,873,69,83,8,240,7.358
SANTO DOMINGO,2013,MAYO,5636,976,442,129,102,1,0,7286
SANTO DOMINGO,2013,JUNIO,5631,851,490,98,96,0,0,7166
SANTO DOMINGO,2013,JULIO,5649,762,538,115,116,0,0,7180
SANTO DOMINGO,2013,AGOSTO,5717,797,620,165,94,0,0,7393
SANTO DOMINGO,2013,SEPTIEMBRE,5926,702,704,90,98,3,0,7523
SANTO DOMINGO,2013,OCTUBRE,6013,722,825,110,108,5,0,7783
SANTO DOMINGO,2013,NOVIEMBRE,6158,690,761,136,105,6,0,7856
SANTO DOMINGO,2013,DICIEMBRE,7035,919,897,168,143,5,"",9167
SANTO DOMINGO,2014,ENERO,5.750,871,942,98,135,58,"",7.854
SANTO DOMINGO,2014,FEBRERO,5.545,770,846,"",114,15,"",7.290
SANTO DOMINGO,2014,MARZO,6.721,427,1.132,"",180,5,-,8.465
SANTO DOMINGO,2014,ABRIL,6.029,746,1.035,-,245,16,-,8.071
SANTO DOMINGO,2014,MAYO,6.247,674,1.169,-,190,10,-,8.290
SANTO DOMINGO,2014,JUNIO,6.704,577,1.316,2,113,4,-,8.716
SANTO DOMINGO,2014,JULIO,7.978,1.064,1.942,-,187,7,103,11.281
SANTO DOMINGO,2014,SEPTIEMBRE,6.361,686,1.190,3,127,1,189,8.557
SANTO DOMINGO,2014,OCTUBRE,6.600,770,1.271,3,117,2,121,8.884
SANTO DOMINGO,2014,NOVIEMBRE,7.071,693,1.190,-,138,8,153,9.253
SANTO DOMINGO,2014,DICIEMBRE,7.554,1.057,1.259,"","",20,109,9.999
SANTO DOMINGO,2015,ENERO,6.747,1.022,1.310,1,153,8,91,9.332
SANTO DOMINGO,2015,FEBRERO,6.476,1.034,1.345,2,157,2,94,9.110
SANTO DOMINGO,2015,MARZO,6.905,1.024,1.607,"",260,"",114,9.910
SANTO DOMINGO,2015,ABRIL,6.821,1.019,1.478,"",299,"",126,9.743
SANTO DOMINGO,2015,MAYO,7.383,1.060,1.727,1,210,"",96,10.477
SANTO DOMINGO,2015,JUNIO,6.661,961,1.654,"",165,"",113,9.554
RIOBAMBA,2014,JUNIO,4.290,619,920,52,144,11,4,6.040
RIOBAMBA,2014,JULIO,4.038,532,930,52,185,13,52,5.802
RIOBAMBA,2014,AGOSTO,3.864,533,996,86,214,9,51,5.753
RIOBAMBA,2014,SEPTIEMBRE,3.978,532,933,85,238,7,78,5.851
RIOBAMBA,2014,OCTUBRE,4.258,663,1.016,102,177,17,43,6.276
RIOBAMBA,2014,NOVIEMBRE,4.248,59,1.041,110,158,12,15,6.143
RIOBAMBA,2014,DICIEMBRE,4.423,733,1.143,153,225,16,17,6.710
RIOBAMBA,2015,ENERO,4.028,681,1.107,87,163,20,24,6.110
RIOBAMBA,2015,FEBRERO,3.771,823,1.113,72,151,20,10,5.960
RIOBAMBA,2015,MARZO,3.723,744,1.093,107,187,18,22,5.894
RIOBAMBA,2015,ABRIL,3.821,802,1.064,104,165,13,39,6.008
RIOBAMBA,2015,MAYO,3.953,729,1.171,104,126,8,30,6.121
RIOBAMBA,2015,JUNIO,3.733,765,1.086,110,147,22,14,5.877
IBARRA,2014,JUNIO,5.059,89,1.519,-,201,53,72,6.993
IBARRA,2014,JULIO,4.927,103,1.556,-,357,28,53,7.024
IBARRA,2014,AGOSTO,4.552,515,1.620,-,664,16,46,7.413
IBARRA,2014,SEPTIEMBRE,4.204,556,1.632,-,602,9,55,7.058
IBARRA,2014,OCTUBRE,4.342,649,1.650,-,290,18,29,6.978
IBARRA,2014,NOVIEMBRE,4.685,632,1.521,-,161,6,54,7.059
IBARRA,2014,DICIEMBRE,5.000,705,1.635,-,177,3,53,7.573
IBARRA,2015,FEBRERO,4.493,612,1.776,-,160,7,44,7.092
IBARRA,2015,MARZO,4.586,634,1.986,-,223,3,80,7.512
IBARRA,2015,ABRIL,4.535,639,1.862,-,202,16,29,7.283
IBARRA,2015,MAYO,4.985,770,1.908,-,307,6,19,7.995
IBARRA,2015,JUNIO,4.452,766,1.829,-,376,8,10,7.441
LOJA,2014,AGOSTO,4.831,656,1.289,156,246,50,154,7.382
LOJA,2014,SEPTIEMBRE,4.495,575,1.269,160,290,93,183,7.065
LOJA,2014,OCTUBRE,4.626,547,1.187,216,275,103,149,7.103
LOJA,2014,NOVIEMBRE,4.834,562,1.302,191,191,119,156,7.355
LOJA,2014,DICIEMBRE,5.069,608,1.511,227,229,36,216,7.896
LOJA,2015,ENERO,4.049,535,1.612,211,213,48,235,6.903
LOJA,2015,FEBRERO,3.858,640,1.501,230,179,42,203,6.653
LOJA,2015,MARZO,4.005,738,1.563,472,376,339,357,7.850
LOJA,2015,ABRIL,3.933,697,1.447,344,187,150,293,7.051
LOJA,2015,MAYO,4.944,983,1.526,306,188,54,281,8.282
LOJA,2015,JUNIO,3.827,979,1.447,430,174,66,345,7.268
MACAS,2014,JULIO,1.509,150,489,-,38,4,42,2.232
MACAS,2014,AGOSTO,1.606,175,491,2,57,2,60,2.393
MACAS,2014,SEPTIEMBRE,1.455,151,519,-,58,4,45,2.232
MACAS,2014,OCTUBRE,1.292,169,522,4,33,"",39,2.059
MACAS,2014,NOVIEMBRE,1.471,134,590,33,33,-,18,2.279
MACAS,2014,DICIEMBRE,1.776,187,542,11,35,"",21,2.572
MACAS,2015,ENERO,1.602,212,726,1,43,"",33,2.617
MACAS,2015,FEBRERO,1.430,246,558,40,54,1,25,2.354
MACAS,2015,MARZO,1.519,266,733,68,52,"",55,2.693
MACAS,2015,ABRIL,1.494,326,685,66,111,"",19,2.701
MACAS,2015,MAYO,1.694,329,681,86,50,"",38,2.878
MACAS,2015,JUNIO,1.491,287,634,40,71,-,51,2.574
NUEVA LOJA,2014,SEPTIEMBRE,2.019,-,361,31,54,4,81,2.550
NUEVA LOJA,2014,OCTUBRE,2.065,9,318,47,26,3,243,2.711
NUEVA LOJA,2014,DICIEMBRE,2.104,165,450,58,59,3,450,3.289
NUEVA LOJA,2015,ENERO,1.855,112,391,36,29,3,290,2.716
NUEVA LOJA,2015,FEBRERO,1.905,115,380,41,40,5,301,2.787
NUEVA LOJA,2015,MARZO,2.085,129,361,35,35,5,370,3.020
NUEVA LOJA,2015,ABRIL,2.161,492,492,54,27,6,333,3.565
NUEVA LOJA,2015,MAYO,2.175,266,536,52,37,1,365,3.432
NUEVA LOJA,2015,JUNIO,1.950,243,535,68,27,8,470,3.301
TULCÁN,2014,SEPTIEMBRE,1.174,142,231,56,201,-,30,1.834
TULCÁN,2014,OCTUBRE,988,120,207,82,113,-,9,1.519
TULCÁN,2014,NOVIEMBRE,2.324,200,661,167,151,2,58,3.563
TULCÁN,2014,DICIEMBRE,2.455,237,702,159,143,6,59,3.761
TULCÁN,2015,ENERO,2.142,232,690,104,97,-,106,3.371
TULCÁN,2015,FEBRERO,1.886,245,636,117,133,1,58,3.076
TULCÁN,2015,MARZO,2.196,265,666,156,162,1,99,3.545
TULCÁN,2015,ABRIL,2.355,254,656,133,153,7,53,3.611
TULCÁN,2015,MAYO,2.447,221,725,117,175,1,62,3.748
TULCÁN,2015,JUNIO,1.722,230,715,"",108,"","",2.775
